"AcademicLevel","InternationalStudent","CountryOfOrigin"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Miscellaneous","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
